id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64.0,1.0,1
2,ivysaur,2,10,130,142.0,2.0,1
3,venusaur,3,20,1000,263.0,3.0,1
4,charmander,4,6,85,62.0,5.0,1
5,charmeleon,5,11,190,142.0,6.0,1
6,charizard,6,17,905,267.0,7.0,1
7,squirtle,7,5,90,63.0,10.0,1
8,wartortle,8,10,225,142.0,11.0,1
9,blastoise,9,16,855,265.0,12.0,1
10,caterpie,10,3,29,39.0,14.0,1
11,metapod,11,7,99,72.0,15.0,1
12,butterfree,12,11,320,198.0,16.0,1
13,weedle,13,3,32,39.0,17.0,1
14,kakuna,14,6,100,72.0,18.0,1
15,beedrill,15,10,295,178.0,19.0,1
16,pidgey,16,3,18,50.0,21.0,1
17,pidgeotto,17,11,300,122.0,22.0,1
18,pidgeot,18,15,395,216.0,23.0,1
19,rattata,19,3,35,51.0,25.0,1
20,raticate,20,7,185,145.0,27.0,1
21,spearow,21,3,20,52.0,30.0,1
22,fearow,22,12,380,155.0,31.0,1
23,ekans,23,20,69,58.0,32.0,1
24,arbok,24,35,650,157.0,33.0,1
25,pikachu,25,4,60,112.0,35.0,1
26,raichu,26,8,300,243.0,51.0,1
27,sandshrew,27,6,120,60.0,53.0,1
28,sandslash,28,10,295,158.0,55.0,1
29,nidoran-f,29,4,70,55.0,57.0,1
30,nidorina,30,8,200,128.0,58.0,1
31,nidoqueen,31,13,600,253.0,59.0,1
32,nidoran-m,32,5,90,55.0,60.0,1
33,nidorino,33,9,195,128.0,61.0,1
34,nidoking,34,14,620,253.0,62.0,1
35,clefairy,35,6,75,113.0,64.0,1
36,clefable,36,13,400,242.0,65.0,1
37,vulpix,37,6,99,60.0,66.0,1
38,ninetales,38,11,199,177.0,68.0,1
39,jigglypuff,39,5,55,95.0,71.0,1
40,wigglytuff,40,10,120,218.0,72.0,1
41,zubat,41,8,75,49.0,73.0,1
42,golbat,42,16,550,159.0,74.0,1
43,oddish,43,5,54,64.0,76.0,1
44,gloom,44,8,86,138.0,77.0,1
45,vileplume,45,12,186,245.0,78.0,1
46,paras,46,3,54,57.0,80.0,1
47,parasect,47,10,295,142.0,81.0,1
48,venonat,48,10,300,61.0,82.0,1
49,venomoth,49,15,125,158.0,83.0,1
50,diglett,50,2,8,53.0,84.0,1
51,dugtrio,51,7,333,149.0,86.0,1
52,meowth,52,4,42,58.0,88.0,1
53,persian,53,10,320,154.0,91.0,1
54,psyduck,54,8,196,64.0,93.0,1
55,golduck,55,17,766,175.0,94.0,1
56,mankey,56,5,280,61.0,95.0,1
57,primeape,57,10,320,159.0,96.0,1
58,growlithe,58,7,190,70.0,97.0,1
59,arcanine,59,19,1550,194.0,98.0,1
60,poliwag,60,6,124,60.0,99.0,1
61,poliwhirl,61,10,200,135.0,100.0,1
62,poliwrath,62,13,540,255.0,101.0,1
63,abra,63,9,195,62.0,103.0,1
64,kadabra,64,13,565,140.0,104.0,1
65,alakazam,65,15,480,250.0,105.0,1
66,machop,66,8,195,61.0,107.0,1
67,machoke,67,15,705,142.0,108.0,1
68,machamp,68,16,1300,253.0,109.0,1
69,bellsprout,69,7,40,60.0,110.0,1
70,weepinbell,70,10,64,137.0,111.0,1
71,victreebel,71,17,155,221.0,112.0,1
72,tentacool,72,9,455,67.0,113.0,1
73,tentacruel,73,16,550,180.0,114.0,1
